"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19979610,"07/28/2022 03:00:00 PM","07/28/2022","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","3400 SOUTH ST, LAKEWOOD, CA 90712","3400 SOUTH ST","LAKEWOOD","90712","922-14805-1320","1320","14805","NO","CA0190013","LAKEWOOD",-118.152,33.858,1
19982980,"08/01/2022 06:50:00 PM","08/01/2022","WEAPON LAWS","151","WEAPON LAWS: Felony",,,,,"922-02355-5100","5100","02355","NO","CA0190058","MEN'S CENTRAL JAIL",,,2
19974063,"07/22/2022 12:00:00 AM","07/22/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","600 FOOTHILL BLVD, LA CANADA FLINTRIDGE, CA 91011","600 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","922-01382-1262","1262","01382","NO","CA0190012","CRESCENTA VALLEY",-118.192,34.201,2
19984987,"08/03/2022 05:18:16 PM","08/03/2022","ARSON","271","ARSON: Other Residential (Apts, Hotels, Dorms, Etc)",,,,,"022-11775-2171","2171","11775","NO","CA01900V3","CENTURY",,,1
19984077,"08/02/2022 07:10:00 PM","08/02/2022","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","17100 COLIMA RD, HACIENDA HEIGHTS, CA 91745","17100 COLIMA RD","HACIENDA HEIGHTS","91745","922-08528-1470","1470","08528","NO","CA0190014","INDUSTRY",-117.932,33.989,1
19993761,"08/12/2022 12:13:05 PM","08/12/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","700 GRADE CIR, COMPTON, CA","700 GRADE CIR","COMPTON",,"922-10604-2835","2835","10604","NO","CA0190042","COMPTON",-118.235,33.89,1
19983421,"08/02/2022 10:15:24 AM","08/02/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","22100 SELWYN AVE, CARSON, CA","22100 SELWYN AVE","CARSON",,"922-07733-1628","1628","07733","NO","CA0190016","CARSON",-118.26,33.826,1
19995024,"08/14/2022 12:45:00 AM","08/14/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","6000 KAUFFMAN AVE, TEMPLE CITY, CA 91780","6000 KAUFFMAN AVE","TEMPLE CITY","91780","022-09219-0521","0521","09219","NO","CA0190005","TEMPLE",-118.058,34.109,2
19993756,"08/12/2022 09:17:00 AM","08/12/2022","FRAUD AND NSF CHECKS","112","FRAUD: Fraud By False Pretenses","43800 LIVELY AVE, LANCASTER, CA","43800 LIVELY AVE","LANCASTER",,"922-13954-1127","1127","13954","NO","CA0190024","LANCASTER",-118.174,34.678,2
19993349,"08/11/2022 10:45:35 PM","08/11/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","ALAMEDA ST AND ALONDRA BLVD, COMPTON, CA","ALAMEDA ST AND ALONDRA BLVD","COMPTON",,"922-10579-2840","2840","10579","NO","CA0190042","COMPTON",-118.219,33.888,1
19983635,"08/02/2022 01:20:17 PM","08/02/2022","WEAPON LAWS","151","WEAPON LAWS: Felony","3500 HOPE ST, HUNTINGTON PARK, CA","3500 HOPE ST","HUNTINGTON PARK",,"922-00962-3603","3603","00962","NO","CA0190036","NARCOTICS BUREAU",-118.203,33.967,2
19996131,"08/15/2022 01:10:00 PM","08/15/2022","NON-AGGRAVATED ASSAULTS","144","ASSAULT, NON-AGG: Hands, Feet, Fist, Etc.","12500 RUSH ST, SOUTH EL MONTE, CA 91733","12500 RUSH ST","SOUTH EL MONTE","91733","022-09275-0577","0577","09275","NO","CA0190005","TEMPLE",-118.025,34.042,2
19972638,"07/21/2022 06:05:00 AM","07/21/2022","GRAND THEFT AUTO","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","6100 HAZELBROOK AVE, LAKEWOOD, CA 90712","6100 HAZELBROOK AVE","LAKEWOOD","90712","922-14209-1322","1322","14209","NO","CA0190013","LAKEWOOD",-118.138,33.866,1
19972528,"07/21/2022 12:38:23 AM","07/21/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","BULLIS RD AND PINE ST, COMPTON, CA","BULLIS RD AND PINE ST","COMPTON",,"922-09452-2825","2825","09452","NO","CA0190042","COMPTON",-118.206,33.909,2
19984001,"08/02/2022 05:30:00 PM","08/02/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1000 LAUREL AVE, WEST HOLLYWOOD, CA","1000 LAUREL AVE","WEST HOLLYWOOD",,"922-04856-0975","0975","04856","NO","CA0190009","WEST HOLLYWOOD",-118.364,34.089,1
19975026,"07/24/2022 12:35:00 AM","07/24/2022","AGGRAVATED ASSAULT","050","ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE","8500 ROSEMEAD BLVD, PICO RIVERA, CA 90660","8500 ROSEMEAD BLVD","PICO RIVERA","90660","022-04438-1518","1518","04438","NO","CA0190015","PICO RIVERA",-118.109,33.961,1
19983911,"08/02/2022 05:39:00 PM","08/02/2022","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","1800 WALNUT GROVE AVE, ROSEMEAD, CA 91770","1800 WALNUT GROVE AVE","ROSEMEAD","91770","922-08756-0535","0535","08756","NO","CA0190005","TEMPLE",-118.081,34.05,1
19978441,"07/27/2022 04:05:00 PM","07/27/2022","WEAPON LAWS","152","WEAPON LAWS: Misdemeanor","LERMA RD AND POTRERO AVE, SOUTH EL MONTE, CA 91733","LERMA RD AND POTRERO AVE","SOUTH EL MONTE","91733","922-08511-0561","0561","08511","NO","CA0190005","TEMPLE",,,2
19983669,"08/02/2022 12:46:00 PM","08/02/2022","ROBBERY","042","ROBBERY, STRONG-ARM: Store, Business, Hotel, Motel, Etc.","11100 183RD ST, CERRITOS, CA 90703","11100 183RD ST","CERRITOS","90703","922-03113-2320","2320","03113","NO","CA01900R7","CERRITOS",-118.098,33.866,1
19976428,"07/24/2022 06:00:00 PM","07/25/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","37100 47TH ST E, PALMDALE, CA","37100 47TH ST E","PALMDALE",,"922-09661-2607","2607","09661","NO","CA01900W9","PALMDALE",-118.043,34.556,1
19977638,"07/26/2022 09:47:48 PM","07/26/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","4700 W 160TH ST, LAWNDALE, CA 90260","4700 W 160TH ST","LAWNDALE","90260","022-06271-0333","0333","06271","NO","CA0190003","SOUTH LOS ANGELES",-118.359,33.885,2
19983336,"02/02/2022 02:00:00 AM","08/02/2022","OFFENSES AGAINST FAMILY","174","OFFENSES AGAINST FAMILY: Elder Abuse","28900 SILVER SADDLE CIR, CANYON COUNTRY, CA 91387","28900 SILVER SADDLE CIR","CANYON COUNTRY","91387","022-10680-0631","0631","10680","NO","CA0190006","SANTA CLARITA VALLEY",-118.421,34.432,2
19972890,"07/21/2022 11:52:00 AM","07/21/2022","AGGRAVATED ASSAULT","054","ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC.",,,,,"022-02238-5100","5100","02238","NO","CA0190058","MEN'S CENTRAL JAIL",,,1
19993425,"08/11/2022 10:50:00 PM","08/12/2022","ROBBERY","037","ROBBERY, WEAPON: Other","500 S DEEPMEAD AVE, EAST VALINDA, CA","500 S DEEPMEAD AVE","EAST VALINDA",,"922-08888-1445","1445","08888","NO","CA0190014","INDUSTRY",-117.9,34.009,1
